ID;Description;BeginDate;EndDate;BookingFee;TotalPrice;Currency_code;Status_code;Agency_ID;Customer_ID;createdAt;createdBy;modifiedAt;modifiedBy
416;Visiting Theresia;2024-05-30;2024-05-30;40;12667;SGD;A;070032;0000000372;2023-10-03T16:06:00.000Z;Kramer;2023-10-16T11:46:00.000Z;Sudhoff
417;Business Trip;2024-05-30;2024-05-30;20;6337;SGD;O;070039;0000000338;2023-10-03T15:14:23.000Z;Simonen;2023-10-19T06:17:11.000Z;Sommer
418;Sightseeing in Singapore;2024-05-30;2024-05-30;20;6430;SGD;A;070030;0000000437;2023-10-03T15:05:50.000Z;Martin;2023-10-15T01:31:11.000Z;Sommer
419;Vacation to Singapore;2024-05-30;2024-05-30;20;6386;SGD;O;070024;0000000005;2023-10-03T00:06:04.000Z;Weiss;2023-10-13T13:24:46.000Z;Columbo
420;Vacation for Ruth, Peter;2024-05-30;2024-05-30;40;12681;SGD;X;070011;0000000481;2023-10-03T10:47:16.000Z;Ryan;2023-10-07T17:06:17.000Z;Trensch
421;Sightseeing in Singapore;2024-05-30;2024-05-30;40;13102;SGD;A;070028;0000000262;2023-10-03T15:36:55.000Z;Delon;2023-10-14T09:17:37.000Z;Schneider
422;Business Trip to Singapore;2024-05-30;2024-05-30;20;6554;SGD;O;070016;0000000416;2023-10-03T00:25:17.000Z;Neubasler;2023-10-09T01:57:13.000Z;Fischmann
423;Vacation;2024-05-30;2024-05-30;10;2069;SGD;O;070001;0000000271;2023-10-03T00:45:19.000Z;Waldmann;2023-10-03T05:41:05.000Z;Fischmann
424;Vacation to Singapore;2024-05-30;2024-05-30;40;13096;SGD;O;070024;0000000289;2023-10-03T11:39:36.000Z;Benz;2023-10-12T02:25:03.000Z;Kramer
425;Vacation;2024-05-30;2024-05-30;40;13198;SGD;X;070046;0000000395;2023-10-03T05:56:20.000Z;Mechler;2023-10-21T05:06:32.000Z;Waldmann
426;Vacation for August;2024-05-30;2024-05-30;20;6810;SGD;O;070012;0000000346;2023-10-03T10:15:59.000Z;Kreiss;2023-10-07T09:11:31.000Z;Matthaeus
427;Business Trip for Anna;2024-05-30;2024-05-30;10;2155;SGD;O;070010;0000000269;2023-10-03T02:29:54.000Z;Kramer;2023-10-07T11:47:51.000Z;Barth
428;Vacation;2024-05-30;2024-05-30;60;20482;SGD;O;070043;0000000397;2023-10-03T01:23:36.000Z;Trensch;2023-10-20T09:46:07.000Z;Neubasler
429;Vacation;2024-05-30;2024-05-30;40;13686;SGD;O;070045;0000000031;2023-10-03T01:02:59.000Z;Sisko;2023-10-21T20:16:49.000Z;Detemple
430;Business Trip for Kurt, Theresia;2024-05-30;2024-05-30;20;4547;SGD;X;070010;0000000400;2023-10-03T22:25:45.000Z;Zimmermann;2023-10-07T11:40:38.000Z;Mustermann
431;Vacation to Singapore;2024-05-30;2024-05-30;40;13806;SGD;O;070023;0000000287;2023-10-03T17:36:39.000Z;Mueller;2023-10-12T21:27:45.000Z;Lautenbach
432;Vacation for Thomas, Ludwig, Fabio;2024-05-30;2024-05-30;60;21258;SGD;O;070012;0000000444;2023-10-03T05:18:43.000Z;Montero;2023-10-07T14:03:32.000Z;Waldmann
433;Business Trip for Jean-Luc, Lothar;2023-08-02;2023-08-02;20;298;USD;O;070008;0000000214;2023-07-05T16:41:29.000Z;Mustermann;2023-07-08T21:46:46.000Z;Gueldenpfenn
434;Business Trip for Uli, Jean, Gisela;2023-08-02;2023-08-02;30;506;USD;O;070009;0000000538;2023-07-07T08:07:58.000Z;Dumbach;2023-07-10T04:07:35.000Z;Hunter
435;Vacation for Stephen, Lee, Guenther;2023-08-02;2024-06-01;60;906;USD;X;070012;0000000511;2023-07-05T10:00:02.000Z;Moyano;2023-07-10T15:05:04.000Z;Cesari
436;Vacation for Astrid, Sophie;2023-08-02;2024-06-01;40;633;USD;O;070012;0000000133;2023-07-18T00:39:04.000Z;Mechler;2023-07-22T05:25:22.000Z;Gutenberg
437;Business Trip;2023-08-02;2024-06-01;20;313;USD;O;070040;0000000332;2023-07-14T13:31:28.000Z;Moyano;2023-07-30T15:43:47.000Z;Weiss
438;Vacation to Cuba;2023-08-02;2024-06-01;40;642;USD;O;070022;0000000130;2023-07-15T10:37:16.000Z;Sommer;2023-07-24T15:06:26.000Z;Matthaeus
439;Vacation to Cuba;2023-08-02;2024-06-01;60;998;USD;O;070024;0000000470;2023-07-05T20:08:22.000Z;Fischmann;2023-07-14T00:07:31.000Z;Meier
440;Business Trip to Cuba;2023-08-02;2024-06-01;40;681;USD;X;070016;0000000332;2023-07-02T21:08:35.000Z;Goelke;2023-07-08T05:05:07.000Z;Leisert
441;Vacation;2023-08-02;2023-08-02;30;500;USD;O;070005;0000000029;2023-07-12T21:11:28.000Z;Hoffen;2023-07-13T04:10:00.000Z;Rahn
442;Vacation;2023-08-02;2024-06-01;40;638;USD;O;070047;0000000226;2023-07-15T06:18:20.000Z;Moyano;2023-08-03T15:19:06.000Z;Buehler
443;Visiting Laura;2023-08-02;2024-06-01;20;298;USD;A;070033;0000000078;2023-07-10T17:15:12.000Z;Kirk;2023-07-23T19:13:05.000Z;Prinz
444;Vacation to Cuba;2023-08-02;2024-06-01;20;348;USD;O;070022;0000000384;2023-07-09T04:42:28.000Z;Henry;2023-07-18T07:53:31.000Z;Hoffen
445;Visiting Christine;2023-08-02;2024-06-01;40;596;USD;X;070032;0000000268;2023-07-15T09:11:51.000Z;Ryan;2023-07-28T17:33:02.000Z;Kreiss
446;Business Trip for Dominik;2023-08-02;2023-08-02;10;176;USD;O;070010;0000000168;2023-07-05T11:04:51.000Z;Moyano;2023-07-08T15:12:57.000Z;Zimmermann
447;Sightseeing in Havana;2023-08-02;2024-06-01;20;306;USD;A;070030;0000000328;2023-07-11T04:42:51.000Z;Buchholm;2023-07-22T23:54:58.000Z;Hoffen
448;Vacation;2023-08-02;2024-06-01;20;336;USD;O;070046;0000000160;2023-06-30T16:18:55.000Z;Miguel;2023-07-19T13:33:49.000Z;Eichbaum
449;Business Trip;2023-08-02;2024-06-01;20;352;USD;A;070037;0000000135;2023-07-19T22:37:49.000Z;Jacqmain;2023-08-03T08:09:35.000Z;Becker
450;Vacation;2023-08-02;2024-06-01;20;329;USD;X;070049;0000000028;2023-07-10T14:10:54.000Z;Rahn;2023-07-30T20:59:32.000Z;Domenech
451;Business Trip to Cuba;2023-08-02;2024-06-01;40;618;USD;O;070018;0000000536;2023-07-11T05:23:01.000Z;Buchholm;2023-07-17T23:15:10.000Z;Waldmann
452;Vacation to Cuba;2023-08-02;2024-06-01;40;687;USD;O;070022;0000000150;2023-07-10T10:41:50.000Z;Trensch;2023-07-19T10:04:51.000Z;Cesari
453;Visiting Simon;2023-08-02;2024-06-01;60;976;USD;A;070035;0000000446;2023-07-02T23:58:43.000Z;Delon;2023-07-17T09:24:47.000Z;Buchholm
454;Business Trip for Astrid, Illya;2023-08-02;2023-08-02;20;493;USD;O;070006;0000000052;2023-07-13T09:37:35.000Z;Trensch;2023-07-15T10:24:44.000Z;Kreiss
455;Business Trip;2023-08-02;2024-06-01;40;733;USD;X;070036;0000000121;2023-07-13T22:22:55.000Z;Ryan;2023-07-27T17:09:33.000Z;Mustermann
456;Vacation for James, Max, Ulla;2023-08-02;2024-06-01;60;1069;USD;O;070013;0000000006;2023-07-15T06:45:06.000Z;Simonen;2023-07-20T06:09:36.000Z;Heller
457;Business Trip for Theresia, Ruth, Peter;2023-08-02;2023-08-02;30;633;USD;O;070009;0000000030;2023-07-14T04:21:44.000Z;Prinz;2023-07-17T17:52:37.000Z;Koller
458;Vacation to Cuba;2023-08-02;2024-06-01;20;412;USD;O;070021;0000000339;2023-07-19T04:17:19.000Z;Cesari;2023-07-27T10:41:17.000Z;Goelke
459;Business Trip for Friedrich, Peter;2023-08-02;2023-08-02;20;393;USD;O;070007;0000000128;2023-07-16T18:49:38.000Z;Jeremias;2023-07-17T23:31:34.000Z;Deichgraeber
460;Sightseeing in Havana;2023-08-02;2024-06-01;40;795;USD;X;070030;0000000311;2023-07-09T10:20:58.000Z;Koslowski;2023-07-21T03:35:03.000Z;Matthaeus
461;Vacation to Cuba;2023-08-02;2024-06-01;20;391;USD;O;070023;0000000394;2023-07-11T08:27:38.000Z;Eichbaum;2023-07-20T16:17:47.000Z;Hunter
462;Vacation for Peter, Ida, Johannes;2023-08-02;2024-06-01;60;1259;USD;O;070014;0000000092;2023-07-15T04:21:58.000Z;Cesari;2023-07-20T10:25:19.000Z;Koller
463;Vacation;2023-08-02;2023-08-02;10;202;USD;O;070003;0000000439;2023-07-08T11:44:55.000Z;Benz;2023-07-08T02:33:30.000Z;Illner
464;Visiting Allen;2023-08-02;2024-06-01;20;414;USD;A;070031;0000000259;2023-07-12T16:25:26.000Z;Henry;2023-07-24T07:25:34.000Z;Eichbaum
465;Business Trip;2023-08-02;2024-06-01;20;396;USD;X;070040;0000000174;2023-07-07T05:01:07.000Z;Miguel;2023-07-23T13:07:57.000Z;Mechler
466;Business Trip;2023-08-02;2024-06-01;40;789;USD;A;070036;0000000367;2023-07-15T12:19:13.000Z;Wohl;2023-07-29T03:17:59.000Z;Illner
467;Business Trip for Uli;2023-08-02;2023-08-02;10;224;USD;O;070009;0000000370;2023-07-04T17:57:34.000Z;Gueldenpfenn;2023-07-07T16:39:35.000Z;Lautenbach
468;Vacation for Thilo;2023-08-02;2024-06-01;20;404;USD;O;070012;0000000313;2023-07-04T06:27:24.000Z;Dumbach;2023-07-08T04:56:45.000Z;Simonen
469;Vacation;2023-08-02;2024-06-01;20;514;USD;O;070042;0000000186;2023-07-13T18:45:30.000Z;Rahn;2023-07-30T21:14:03.000Z;Deichgraeber
470;Business Trip for Volker, Gisela, Juan;2023-08-02;2023-08-02;30;800;USD;X;070006;0000000090;2023-07-03T19:44:31.000Z;Waldmann;2023-07-05T05:45:10.000Z;Picard
471;Business Trip to Cuba;2023-08-02;2024-06-01;20;431;USD;O;070017;0000000463;2023-07-13T23:06:40.000Z;Lautenbach;2023-07-20T17:44:32.000Z;Vrsic
472;Vacation for Illya, Cindy, Salvador;2023-08-02;2024-06-01;60;1340;USD;O;070015;0000000317;2023-07-03T20:27:19.000Z;Wohl;2023-07-09T03:40:28.000Z;Madeira
473;Visiting Lee;2023-08-02;2024-06-01;60;1404;USD;A;070033;0000000251;2023-07-16T13:05:08.000Z;Mechler;2023-07-29T05:12:22.000Z;Benjamin
474;Business Trip to Cuba;2023-08-02;2024-06-01;40;931;USD;O;070016;0000000155;2023-07-13T01:10:19.000Z;Neubasler;2023-07-19T01:49:43.000Z;Columbo
475;Vacation to Cuba;2023-08-02;2024-06-01;20;495;USD;X;070022;0000000162;2023-07-18T21:39:03.000Z;Gahl;2023-07-26T12:09:39.000Z;Rahn
476;Vacation to Cuba;2023-08-02;2024-06-01;40;942;USD;O;070022;0000000449;2023-07-07T20:30:06.000Z;Sommer;2023-07-15T15:53:54.000Z;Rahn
477;Business Trip;2023-08-02;2024-06-01;20;530;USD;O;070040;0000000032;2023-07-05T22:09:23.000Z;Illner;2023-07-21T12:42:05.000Z;Becker
478;Sightseeing in Havana;2023-08-02;2024-06-01;20;538;USD;A;070026;0000000266;2023-07-08T20:32:29.000Z;Delon;2023-07-18T09:57:39.000Z;Meier
479;Business Trip for Benjamin;2023-08-02;2023-08-02;10;293;USD;O;070006;0000000394;2023-07-11T21:02:12.000Z;Montero;2023-07-13T14:40:27.000Z;Müller
480;Vacation;2023-08-02;2023-08-02;20;585;USD;X;070005;0000000474;2023-07-01T21:44:06.000Z;Montero;2023-07-02T14:48:24.000Z;Leisert
481;Vacation;2023-08-02;2024-06-01;20;569;USD;O;070050;0000000017;2023-07-05T23:31:06.000Z;Moyano;2023-07-26T15:07:29.000Z;Buchholm
482;Vacation for Allen, Felix, Lee;2023-08-02;2024-06-01;60;1653;USD;O;070014;0000000123;2023-07-06T17:32:17.000Z;Sessler;2023-07-11T14:19:21.000Z;Ryan
483;Business Trip for Pierre;2023-08-02;2023-08-02;10;330;USD;O;070010;0000000267;2023-07-04T23:24:15.000Z;Müller;2023-07-08T21:23:19.000Z;Vrsic
484;Vacation;2023-08-02;2024-06-01;40;1076;USD;O;070041;0000000371;2023-07-19T13:15:04.000Z;Koller;2023-08-04T04:10:32.000Z;Benjamin
485;Business Trip;2023-08-02;2024-06-01;20;622;USD;X;070039;0000000313;2023-07-03T14:55:08.000Z;Schneider;2023-07-19T16:01:01.000Z;Montero
486;Vacation;2023-08-02;2023-08-02;20;719;USD;O;070002;0000000462;2023-07-19T06:55:44.000Z;Dumbach;2023-07-19T04:39:53.000Z;Simonen
487;Vacation for Laura, Holm;2023-08-02;2024-06-01;40;1093;USD;O;070014;0000000097;2023-07-15T01:55:57.000Z;Detemple;2023-07-20T01:09:36.000Z;Martin
488;Vacation;2023-08-02;2024-06-01;40;1244;USD;O;070047;0000000326;2023-07-05T01:34:14.000Z;Miguel;2023-07-24T13:47:54.000Z;Detemple
489;Vacation for August, Gisela;2023-08-02;2024-06-01;40;1263;USD;O;070013;0000000137;2023-07-15T22:15:26.000Z;Trensch;2023-07-20T09:26:54.000Z;Becker
490;Business Trip;2023-08-02;2024-06-01;20;577;USD;X;070037;0000000072;2023-07-17T11:13:21.000Z;Trensch;2023-08-01T10:45:33.000Z;Kramer
491;Business Trip for Walter;2023-08-02;2023-08-02;10;375;USD;O;070006;0000000045;2023-07-07T14:46:33.000Z;Domenech;2023-07-09T14:03:02.000Z;Domenech
492;Vacation to Cuba;2023-08-02;2024-06-01;20;607;USD;O;070025;0000000162;2023-07-17T15:42:46.000Z;Ryan;2023-07-27T17:40:20.000Z;Schneider
493;Business Trip to Cuba;2023-08-02;2024-06-01;40;1263;USD;O;070018;0000000378;2023-06-29T00:25:53.000Z;Marshall;2023-07-06T07:38:37.000Z;Fischmann
494;Sightseeing in Havana;2023-08-02;2024-06-01;60;1919;USD;A;070029;0000000187;2023-07-08T03:48:20.000Z;Domenech;2023-07-20T14:23:51.000Z;Koller
495;Vacation for Uli;2023-08-02;2024-06-01;20;636;USD;X;070015;0000000006;2023-07-06T09:48:41.000Z;Hunter;2023-07-11T08:19:39.000Z;Delon
496;Vacation for Salvador, Theresia;2023-08-02;2024-06-01;40;1341;USD;O;070012;0000000292;2023-07-04T23:51:01.000Z;Kirk;2023-07-09T19:47:24.000Z;Buchholm
497;Vacation;2023-08-02;2024-06-01;60;2071;USD;O;070049;0000000326;2023-07-18T00:38:23.000Z;Lindwurm;2023-08-07T18:30:00.000Z;Fischmann
498;Vacation to Cuba;2023-08-02;2024-06-01;20;760;USD;O;070023;0000000317;2023-07-15T07:26:12.000Z;Goelke;2023-07-24T05:57:59.000Z;Henry
499;Vacation for Uli, Marta;2023-08-02;2024-06-01;40;1443;USD;O;070011;0000000269;2023-07-10T06:52:55.000Z;Weiss;2023-07-14T13:03:37.000Z;Heller
500;Vacation;2023-08-02;2024-06-01;60;2176;USD;X;070049;0000000400;2023-07-19T22:21:49.000Z;Benjamin;2023-08-08T12:37:51.000Z;Fischer
501;Visiting Andrej;2023-08-02;2024-06-01;40;1578;USD;A;070031;0000000086;2023-07-18T05:13:16.000Z;Illner;2023-07-30T11:59:55.000Z;Waldmann
502;Sightseeing in Havana;2023-08-02;2024-06-01;20;778;USD;A;070028;0000000492;2023-07-12T19:36:25.000Z;Sisko;2023-07-23T19:39:38.000Z;Picard
503;Vacation for Jean;2023-08-02;2024-06-01;20;832;USD;O;070012;0000000208;2023-07-13T07:08:28.000Z;Waldmann;2023-07-17T05:23:59.000Z;Marshall
504;Sightseeing in Havana;2023-08-02;2024-06-01;60;2373;USD;A;070027;0000000477;2023-06-29T16:25:55.000Z;Heller;2023-07-09T06:01:40.000Z;Sudhoff
505;Business Trip for Chantal;2023-08-02;2023-08-02;10;467;USD;X;070010;0000000147;2023-07-14T19:43:26.000Z;Detemple;2023-07-17T01:11:34.000Z;Kirk
506;Vacation for Laura, Adam, Roland;2023-08-02;2024-06-01;60;2411;USD;O;070012;0000000456;2023-07-01T04:50:54.000Z;Leisert;2023-07-05T21:22:19.000Z;Koller
507;Vacation to USA;2024-06-01;2024-06-01;10;339;USD;O;070021;0000000031;2023-10-03T22:34:16.000Z;Montero;2023-10-11T14:44:58.000Z;Mustermann
508;Vacation to USA;2024-06-01;2024-06-01;10;350;USD;O;070025;0000000531;2023-10-03T16:57:20.000Z;Matthaeus;2023-10-13T10:10:01.000Z;Eichbaum
509;Vacation to USA;2024-06-01;2024-06-01;10;355;USD;O;070021;0000000124;2023-10-03T22:55:06.000Z;Montero;2023-10-11T14:15:53.000Z;Becker
510;Visiting Matthias;2024-06-01;2024-06-01;20;693;USD;X;070032;0000000031;2023-10-03T17:22:31.000Z;Illner;2023-10-16T12:13:18.000Z;Lautenbach
511;Business Trip for Jean, Andreas;2024-06-01;2024-06-01;20;788;USD;O;070009;0000000103;2023-10-03T03:38:45.000Z;Montero;2023-10-06T14:05:07.000Z;Wohl
512;Visiting Lothar;2024-06-01;2024-06-01;20;736;USD;A;070034;0000000227;2023-10-03T07:02:17.000Z;Illner;2023-10-17T12:10:18.000Z;Marshall
513;Vacation for James;2024-06-01;2024-06-01;10;363;USD;O;070015;0000000087;2023-10-03T03:20:24.000Z;Eichbaum;2023-10-09T16:43:19.000Z;Wohl
514;Business Trip to USA;2024-06-01;2024-06-01;20;840;USD;O;070020;0000000481;2023-10-03T18:23:29.000Z;Kramer;2023-10-11T11:39:15.000Z;Lindwurm
515;Visiting Volker;2024-06-01;2024-06-01;10;371;USD;X;070032;0000000038;2023-10-03T21:01:55.000Z;Fischer;2023-10-16T22:37:13.000Z;Müller
516;Business Trip to USA;2024-06-01;2024-06-01;10;414;USD;O;070019;0000000003;2023-10-03T17:48:58.000Z;Hoffen;2023-10-10T04:54:02.000Z;Lautenbach
517;Business Trip for Marta, Sophie;2024-06-01;2024-06-01;20;808;USD;O;070008;0000000081;2023-10-03T19:48:27.000Z;Martin;2023-10-06T01:44:46.000Z;Picard
518;Vacation;2024-06-01;2024-06-01;10;389;USD;O;070050;0000000538;2023-10-03T09:37:06.000Z;Martin;2023-10-23T01:22:12.000Z;Trensch
519;Business Trip;2024-06-01;2024-06-01;30;1231;USD;O;070039;0000000133;2023-10-03T06:31:32.000Z;Fischmann;2023-10-19T00:34:32.000Z;Simonen
520;Vacation;2024-06-01;2024-06-01;10;428;USD;X;070002;0000000375;2023-10-03T19:14:04.000Z;D´Oultrement;2023-10-03T08:16:40.000Z;Lindwurm
521;Vacation;2024-06-01;2024-06-01;10;440;USD;O;070045;0000000479;2023-10-03T12:13:08.000Z;Kreiss;2023-10-21T09:27:38.000Z;Pratt
522;Vacation;2024-06-01;2024-06-01;30;1344;USD;O;070045;0000000064;2023-10-03T01:59:55.000Z;Legrand;2023-10-21T07:48:24.000Z;Detemple
523;Vacation;2024-06-01;2024-06-01;30;1320;USD;O;070048;0000000448;2023-10-03T04:32:38.000Z;Lautenbach;2023-10-23T17:01:25.000Z;Koller
524;Vacation;2024-06-01;2024-06-01;10;445;USD;O;070046;0000000477;2023-10-03T10:48:47.000Z;Sessler;2023-10-22T14:05:36.000Z;Matthaeus
525;Vacation;2024-06-01;2024-06-01;10;495;USD;X;070001;0000000392;2023-10-03T08:04:42.000Z;Ryan;2023-10-03T17:59:26.000Z;Hunter
526;Business Trip;2024-06-01;2024-06-01;10;454;USD;O;070040;0000000144;2023-10-03T17:01:15.000Z;Leisert;2023-10-19T21:56:49.000Z;Lautenbach
527;Sightseeing in Miami, Florida;2024-06-01;2024-06-01;10;480;USD;A;070030;0000000257;2023-10-03T07:47:42.000Z;Becker;2023-10-15T22:41:03.000Z;Marshall
528;Vacation;2024-06-01;2024-06-01;30;1408;USD;O;070005;0000000468;2023-10-03T17:53:58.000Z;Wohl;2023-10-05T03:32:48.000Z;Ryan
529;Business Trip;2024-06-01;2024-06-01;20;986;USD;O;070039;0000000371;2023-10-03T22:37:02.000Z;Barth;2023-10-19T02:53:59.000Z;Becker
530;Vacation for Andreas;2024-05-29;2024-05-30;20;9337;SGD;X;070014;0000000185;2023-10-03T19:13:03.000Z;Schneider;2023-10-08T15:08:55.000Z;Kirk
531;Business Trip to Singapore;2024-05-29;2024-05-30;60;27820;SGD;O;070017;0000000533;2023-10-03T19:02:07.000Z;Neubasler;2023-10-09T01:10:22.000Z;Lindwurm
532;Business Trip to Singapore;2024-05-29;2024-05-30;40;18766;SGD;O;070017;0000000261;2023-10-03T07:36:00.000Z;Kramer;2023-10-10T11:06:26.000Z;Legrand
533;Business Trip for Roland;2024-05-29;2024-05-29;10;4707;SGD;O;070007;0000000136;2023-10-03T00:21:53.000Z;Kramer;2023-10-05T11:56:52.000Z;Gutenberg
534;Visiting Sophie;2024-05-29;2024-05-30;40;19004;SGD;A;070034;0000000291;2023-10-03T22:59:18.000Z;Picard;2023-10-17T19:24:31.000Z;Becker
535;Vacation for Peter, Gisela;2024-05-29;2024-05-30;40;19372;SGD;X;070015;0000000452;2023-10-03T19:40:24.000Z;Matthaeus;2023-10-09T10:56:23.000Z;Kirk
536;Business Trip for Anna, Johannes;2024-05-29;2024-05-29;20;9531;SGD;O;070007;0000000079;2023-10-03T19:46:33.000Z;D´Oultrement;2023-10-05T08:59:13.000Z;Picard
537;Vacation;2024-05-29;2024-05-30;40;19567;SGD;O;070043;0000000411;2023-10-03T00:39:22.000Z;Moyano;2023-10-20T15:20:17.000Z;Columbo
538;Business Trip;2024-05-29;2024-05-30;40;19820;SGD;A;070037;0000000284;2023-10-02T23:17:48.000Z;Sudhoff;2023-10-18T16:14:02.000Z;Jeremias
539;Vacation for Hendrik, Adam;2024-05-29;2024-05-30;40;20123;SGD;O;070012;0000000039;2023-10-03T13:31:18.000Z;Zimmermann;2023-10-07T11:40:37.000Z;Weiss
540;Business Trip for Adam, Marta;2024-05-29;2024-05-29;20;10083;SGD;X;070006;0000000391;2023-10-03T16:36:25.000Z;Henry;2023-10-05T07:24:13.000Z;Gueldenpfenn
541;Sightseeing in Singapore;2024-05-29;2024-05-30;60;30548;SGD;A;070026;0000000336;2023-10-03T13:35:51.000Z;Benz;2023-10-13T02:45:43.000Z;Weiss
542;Visiting Kurt;2024-05-29;2024-05-30;60;31265;SGD;A;070033;0000000261;2023-10-03T14:35:34.000Z;Benjamin;2023-10-16T13:33:40.000Z;Domenech
543;Vacation;2024-05-29;2024-05-29;20;10405;SGD;O;070001;0000000132;2023-10-03T21:04:10.000Z;Waldmann;2023-10-03T05:30:48.000Z;Müller
544;Vacation to Singapore;2024-05-29;2024-05-30;20;10446;SGD;O;070025;0000000389;2023-10-03T05:59:59.000Z;Gutenberg;2023-10-13T00:43:38.000Z;Waldmann
545;Vacation;2024-05-29;2024-05-29;20;10860;SGD;X;070001;0000000150;2023-10-03T21:58:28.000Z;Lautenbach;2023-10-03T17:21:54.000Z;Rahn
546;Business Trip;2024-05-29;2024-05-30;20;10597;SGD;O;070039;0000000449;2023-10-03T01:53:53.000Z;Dumbach;2023-10-19T04:20:36.000Z;Detemple
547;Vacation for Simon;2024-05-29;2024-05-30;20;10717;SGD;O;070015;0000000128;2023-10-03T06:24:25.000Z;Kreiss;2023-10-09T09:27:42.000Z;Heller
548;Business Trip;2024-05-29;2024-05-30;40;21627;SGD;A;070036;0000000154;2023-10-03T19:07:13.000Z;Sommer;2023-10-18T15:13:31.000Z;Sisko
549;Vacation;2024-05-29;2024-05-29;10;5669;SGD;O;070005;0000000094;2023-10-03T04:43:06.000Z;Marshall;2023-10-05T07:18:53.000Z;Dumbach
550;Vacation;2024-05-29;2024-05-30;40;21702;SGD;X;070046;0000000226;2023-10-03T18:41:23.000Z;Gueldenpfenn;2023-10-21T16:46:56.000Z;Deichgraeber
551;Business Trip to Singapore;2024-05-29;2024-05-30;60;33500;SGD;O;070020;0000000313;2023-10-03T12:50:26.000Z;D´Oultrement;2023-10-11T08:00:01.000Z;Pratt
552;Vacation;2024-05-29;2024-05-30;60;33765;SGD;O;070045;0000000534;2023-10-03T21:46:53.000Z;Sommer;2023-10-21T15:55:12.000Z;Müller
553;Business Trip to Singapore;2024-05-29;2024-05-30;20;11403;SGD;O;070018;0000000376;2023-10-03T11:22:04.000Z;Schneider;2023-10-10T15:02:56.000Z;Babilon
554;Business Trip to Singapore;2024-05-29;2024-05-30;20;11565;SGD;O;070017;0000000036;2023-10-03T14:43:30.000Z;Kreiss;2023-10-10T09:42:08.000Z;Domenech
555;Business Trip;2024-05-29;2024-05-30;60;34601;SGD;X;070036;0000000004;2023-10-03T02:16:48.000Z;Vrsic;2023-10-17T23:13:52.000Z;Benz
556;Visiting Holm;2024-05-29;2024-05-30;60;35676;SGD;A;070035;0000000387;2023-10-03T22:28:54.000Z;Simonen;2023-10-17T06:40:50.000Z;Becker
557;Vacation;2024-05-29;2024-05-29;10;6251;SGD;O;070004;0000000400;2023-10-03T14:14:39.000Z;Delon;2023-10-04T09:37:49.000Z;Sessler
558;Business Trip for Horst, Annemarie;2024-05-29;2024-05-29;20;12487;SGD;O;070010;0000000062;2023-10-03T03:49:16.000Z;Waldmann;2023-10-07T05:10:54.000Z;Koslowski
559;Sightseeing in Singapore;2024-05-29;2024-05-30;20;12230;SGD;A;070026;0000000387;2023-10-03T00:56:40.000Z;Wohl;2023-10-13T03:46:49.000Z;Columbo
560;Vacation;2024-05-29;2024-05-29;30;19168;SGD;X;070002;0000000226;2023-10-03T10:10:46.000Z;Pan;2023-10-03T18:06:43.000Z;Babilon
561;Vacation to Singapore;2024-05-29;2024-05-30;40;24753;SGD;O;070022;0000000019;2023-10-03T17:29:45.000Z;Delon;2023-10-11T09:05:39.000Z;Prinz
562;Business Trip;2024-05-29;2024-05-30;40;24975;SGD;A;070038;0000000102;2023-10-03T10:53:34.000Z;Madeira;2023-10-18T20:11:12.000Z;Cesari
563;Visiting Ulla;2024-05-29;2024-05-30;60;38012;SGD;A;070035;0000000328;2023-10-03T20:02:41.000Z;Jacqmain;2023-10-17T08:05:38.000Z;Sisko
564;Sightseeing in Singapore;2024-05-29;2024-05-30;40;25814;SGD;A;070026;0000000450;2023-10-03T14:46:48.000Z;Ryan;2023-10-13T17:33:38.000Z;Montero
565;Vacation for Max, Ludwig, Lee;2024-05-29;2024-05-30;60;39127;SGD;X;070013;0000000473;2023-10-03T20:10:43.000Z;D´Oultrement;2023-10-08T08:18:47.000Z;Meier
566;Vacation to Singapore;2024-05-29;2024-05-30;40;26370;SGD;O;070024;0000000002;2023-10-02T23:12:57.000Z;Deichgraeber;2023-10-13T18:20:01.000Z;Buchholm
567;Vacation to Singapore;2024-05-29;2024-05-30;60;39490;SGD;O;070021;0000000002;2023-10-03T15:54:12.000Z;Lautenbach;2023-10-11T17:30:08.000Z;Sommer
568;Vacation;2024-05-29;2024-05-30;60;40855;SGD;O;070046;0000000391;2023-10-03T13:06:52.000Z;Jacqmain;2023-10-21T08:37:07.000Z;Benjamin
569;Vacation for Theresia, Anneliese;2024-05-29;2024-05-30;40;27477;SGD;O;070014;0000000311;2023-10-03T01:03:00.000Z;Koller;2023-10-08T04:23:53.000Z;Martin
570;Visiting Stephen;2024-05-29;2024-05-30;20;14002;SGD;X;070031;0000000138;2023-10-03T22:25:49.000Z;Prinz;2023-10-15T17:30:41.000Z;Fischer
571;Vacation;2024-05-29;2024-05-30;20;13966;SGD;O;070047;0000000138;2023-10-03T04:48:27.000Z;Müller;2023-10-22T21:59:39.000Z;Hoffen
572;Visiting Holm;2024-05-29;2024-05-30;40;27998;SGD;A;070031;0000000426;2023-10-03T06:53:34.000Z;Simonen;2023-10-15T06:29:43.000Z;Simonen
